Process ID,Flow ID,Flow type,Amount,Unit,Input/Output
P001,F001,PRODUCT,75,kWh,Input
P001,F002,PRODUCT,2.5,L,Input
P001,F003,PRODUCT,10,L,Input
P001,F004,PRODUCT,0.5,kg,Output
P001,F012,WASTE,12,L,Output
P001,F011,ELEMENTARY,54.75,kg,Output
P002,F004,PRODUCT,0.5,kg,Input
P002,F005,PRODUCT,0.3,kg,Input
P002,F006,PRODUCT,0.15,kg,Input
P002,F007,PRODUCT,0.05,kg,Input
P002,F001,PRODUCT,23,kWh,Input
P002,F013,WASTE,0.05,kg,Output
P002,F011,ELEMENTARY,16.79,kg,Output
P003,F008,PRODUCT,0.05,kg,Input
P003,F009,PRODUCT,0.1,kg,Input
P003,F010,PRODUCT,0.075,kg,Input
P003,F001,PRODUCT,2,kWh,Input
P003,F014,WASTE,0.025,kg,Output
P003,F011,ELEMENTARY,1.46,kg,Output
